Planning Area,Subzone,Age Group,Type of Dwelling,2020
Total,Total,60 - 64,5-Room and Executive Flats,"74,240"
Total,Total,60 - 64,Condominiums and Other Apartments,"28,870"
Total,Total,60 - 64,Landed Properties,"19,570"
Total,Total,60 - 64,Others,"2,750"
Total,Total,65 - 69,Total,"229,400"
Total,Total,65 - 69,Total HDB^,"188,650"
Total,Total,65 - 69,1- and 2-Room Flats*,"16,450"
Total,Total,65 - 69,3-Room Flats,"41,990"
Total,Total,65 - 69,4-Room Flats,"74,730"
Total,Total,65 - 69,5-Room and Executive Flats,"55,480"
Total,Total,65 - 69,Condominiums and Other Apartments,"20,780"
Total,Total,65 - 69,Landed Properties,"17,030"
Total,Total,65 - 69,Others,"2,940"
Total,Total,70 - 74,Total,"170,010"
Total,Total,70 - 74,Total HDB^,"137,940"
Total,Total,70 - 74,1- and 2-Room Flats*,"13,390"
Total,Total,70 - 74,3-Room Flats,"34,500"
Total,Total,70 - 74,4-Room Flats,"52,130"
Total,Total,70 - 74,5-Room and Executive Flats,"37,930"
Total,Total,70 - 74,Condominiums and Other Apartments,"15,050"
Total,Total,70 - 74,Landed Properties,"14,050"
Total,Total,70 - 74,Others,"2,960"
Total,Total,75 - 79,Total,"90,990"
Total,Total,75 - 79,Total HDB^,"73,390"
Total,Total,75 - 79,1- and 2-Room Flats*,"7,380"
Total,Total,75 - 79,3-Room Flats,"20,230"
Total,Total,75 - 79,4-Room Flats,"26,910"
Total,Total,75 - 79,5-Room and Executive Flats,"18,880"
Total,Total,75 - 79,Condominiums and Other Apartments,"7,270"
Total,Total,75 - 79,Landed Properties,"7,930"
Total,Total,75 - 79,Others,"2,400"
Total,Total,80 - 84,Total,"66,510"
Total,Total,80 - 84,Total HDB^,"52,600"
Total,Total,80 - 84,1- and 2-Room Flats*,"5,600"
Total,Total,80 - 84,3-Room Flats,"15,380"
Total,Total,80 - 84,4-Room Flats,"18,660"
Total,Total,80 - 84,5-Room and Executive Flats,"12,960"
Total,Total,80 - 84,Condominiums and Other Apartments,"4,970"
Total,Total,80 - 84,Landed Properties,"6,260"
Total,Total,80 - 84,Others,"2,690"
Total,Total,85 - 89,Total,"36,590"
Total,Total,85 - 89,Total HDB^,"28,000"
Total,Total,85 - 89,1- and 2-Room Flats*,"2,930"
Total,Total,85 - 89,3-Room Flats,"7,950"
Total,Total,85 - 89,4-Room Flats,"10,270"
Total,Total,85 - 89,5-Room and Executive Flats,"6,860"
Total,Total,85 - 89,Condominiums and Other Apartments,"2,430"
Total,Total,85 - 89,Landed Properties,"3,850"
Total,Total,85 - 89,Others,"2,310"
Total,Total,90 & Over,Total,"20,880"
Total,Total,90 & Over,Total HDB^,"14,640"
Total,Total,90 & Over,1- and 2-Room Flats*,"1,660"
Total,Total,90 & Over,3-Room Flats,"3,890"
Total,Total,90 & Over,4-Room Flats,"5,350"
Total,Total,90 & Over,5-Room and Executive Flats,"3,750"
Total,Total,90 & Over,Condominiums and Other Apartments,"1,260"
Total,Total,90 & Over,Landed Properties,"2,450"
Total,Total,90 & Over,Others,"2,530"
Ang Mo Kio,Total,Total,Total,"162,280"
Ang Mo Kio,Total,Total,Total HDB^,"131,020"
Ang Mo Kio,Total,Total,1- and 2-Room Flats*,"10,720"
Ang Mo Kio,Total,Total,3-Room Flats,"55,910"
Ang Mo Kio,Total,Total,4-Room Flats,"43,030"
Ang Mo Kio,Total,Total,5-Room and Executive Flats,"21,370"
Ang Mo Kio,Total,Total,Condominiums and Other Apartments,"13,980"
Ang Mo Kio,Total,Total,Landed Properties,"15,880"
Ang Mo Kio,Total,Total,Others,"1,390"
Ang Mo Kio,Total,0 - 4,Total,"5,280"
Ang Mo Kio,Total,0 - 4,Total HDB^,"4,200"
Ang Mo Kio,Total,0 - 4,1- and 2-Room Flats*,430
Ang Mo Kio,Total,0 - 4,3-Room Flats,"1,390"
Ang Mo Kio,Total,0 - 4,4-Room Flats,"1,570"
Ang Mo Kio,Total,0 - 4,5-Room and Executive Flats,810
Ang Mo Kio,Total,0 - 4,Condominiums and Other Apartments,580
Ang Mo Kio,Total,0 - 4,Landed Properties,490
Ang Mo Kio,Total,0 - 4,Others,20
Ang Mo Kio,Total,5 - 9,Total,"6,100"
Ang Mo Kio,Total,5 - 9,Total HDB^,"4,550"
Ang Mo Kio,Total,5 - 9,1- and 2-Room Flats*,390
Ang Mo Kio,Total,5 - 9,3-Room Flats,"1,500"
Ang Mo Kio,Total,5 - 9,4-Room Flats,"1,540"
Ang Mo Kio,Total,5 - 9,5-Room and Executive Flats,"1,120"
Ang Mo Kio,Total,5 - 9,Condominiums and Other Apartments,890
Ang Mo Kio,Total,5 - 9,Landed Properties,650
Ang Mo Kio,Total,5 - 9,Others,20
Ang Mo Kio,Total,10 - 14,Total,"7,030"
Ang Mo Kio,Total,10 - 14,Total HDB^,"5,200"
Ang Mo Kio,Total,10 - 14,1- and 2-Room Flats*,450
Ang Mo Kio,Total,10 - 14,3-Room Flats,"1,890"
Ang Mo Kio,Total,10 - 14,4-Room Flats,"1,650"
Ang Mo Kio,Total,10 - 14,5-Room and Executive Flats,"1,210"
Ang Mo Kio,Total,10 - 14,Condominiums and Other Apartments,990
Ang Mo Kio,Total,10 - 14,Landed Properties,830
Ang Mo Kio,Total,10 - 14,Others,10
