Planning Area,Subzone,Age Group,Type of Dwelling,2020
Ang Mo Kio,Yio Chu Kang North,90 & Over,4-Room Flats,-
Ang Mo Kio,Yio Chu Kang North,90 & Over,5-Room and Executive Flats,-
Ang Mo Kio,Yio Chu Kang North,90 & Over,Condominiums and Other Apartments,-
Ang Mo Kio,Yio Chu Kang North,90 & Over,Landed Properties,-
Ang Mo Kio,Yio Chu Kang North,90 & Over,Others,-
Ang Mo Kio,Yio Chu Kang West,Total,Total,"24,150"
Ang Mo Kio,Yio Chu Kang West,Total,Total HDB^,"17,900"
Ang Mo Kio,Yio Chu Kang West,Total,1- and 2-Room Flats*,"2,660"
Ang Mo Kio,Yio Chu Kang West,Total,3-Room Flats,"7,280"
Ang Mo Kio,Yio Chu Kang West,Total,4-Room Flats,"4,830"
Ang Mo Kio,Yio Chu Kang West,Total,5-Room and Executive Flats,"3,140"
Ang Mo Kio,Yio Chu Kang West,Total,Condominiums and Other Apartments,"5,750"
Ang Mo Kio,Yio Chu Kang West,Total,Landed Properties,460
Ang Mo Kio,Yio Chu Kang West,Total,Others,50
Ang Mo Kio,Yio Chu Kang West,0 - 4,Total,750
Ang Mo Kio,Yio Chu Kang West,0 - 4,Total HDB^,520
Ang Mo Kio,Yio Chu Kang West,0 - 4,1- and 2-Room Flats*,120
Ang Mo Kio,Yio Chu Kang West,0 - 4,3-Room Flats,210
Ang Mo Kio,Yio Chu Kang West,0 - 4,4-Room Flats,110
Ang Mo Kio,Yio Chu Kang West,0 - 4,5-Room and Executive Flats,90
Ang Mo Kio,Yio Chu Kang West,0 - 4,Condominiums and Other Apartments,200
Ang Mo Kio,Yio Chu Kang West,0 - 4,Landed Properties,20
Ang Mo Kio,Yio Chu Kang West,0 - 4,Others,-
Ang Mo Kio,Yio Chu Kang West,5 - 9,Total,950
Ang Mo Kio,Yio Chu Kang West,5 - 9,Total HDB^,560
Ang Mo Kio,Yio Chu Kang West,5 - 9,1- and 2-Room Flats*,110
Ang Mo Kio,Yio Chu Kang West,5 - 9,3-Room Flats,200
Ang Mo Kio,Yio Chu Kang West,5 - 9,4-Room Flats,160
Ang Mo Kio,Yio Chu Kang West,5 - 9,5-Room and Executive Flats,100
Ang Mo Kio,Yio Chu Kang West,5 - 9,Condominiums and Other Apartments,370
Ang Mo Kio,Yio Chu Kang West,5 - 9,Landed Properties,20
Ang Mo Kio,Yio Chu Kang West,5 - 9,Others,-
Ang Mo Kio,Yio Chu Kang West,10 - 14,Total,"1,190"
Ang Mo Kio,Yio Chu Kang West,10 - 14,Total HDB^,730
Ang Mo Kio,Yio Chu Kang West,10 - 14,1- and 2-Room Flats*,130
Ang Mo Kio,Yio Chu Kang West,10 - 14,3-Room Flats,250
Ang Mo Kio,Yio Chu Kang West,10 - 14,4-Room Flats,190
Ang Mo Kio,Yio Chu Kang West,10 - 14,5-Room and Executive Flats,160
Ang Mo Kio,Yio Chu Kang West,10 - 14,Condominiums and Other Apartments,430
Ang Mo Kio,Yio Chu Kang West,10 - 14,Landed Properties,20
Ang Mo Kio,Yio Chu Kang West,10 - 14,Others,-
Ang Mo Kio,Yio Chu Kang West,15 - 19,Total,"1,350"
Ang Mo Kio,Yio Chu Kang West,15 - 19,Total HDB^,850
Ang Mo Kio,Yio Chu Kang West,15 - 19,1- and 2-Room Flats*,190
Ang Mo Kio,Yio Chu Kang West,15 - 19,3-Room Flats,260
Ang Mo Kio,Yio Chu Kang West,15 - 19,4-Room Flats,220
Ang Mo Kio,Yio Chu Kang West,15 - 19,5-Room and Executive Flats,170
Ang Mo Kio,Yio Chu Kang West,15 - 19,Condominiums and Other Apartments,480
Ang Mo Kio,Yio Chu Kang West,15 - 19,Landed Properties,20
Ang Mo Kio,Yio Chu Kang West,15 - 19,Others,-
Ang Mo Kio,Yio Chu Kang West,20 - 24,Total,"1,460"
Ang Mo Kio,Yio Chu Kang West,20 - 24,Total HDB^,"1,060"
Ang Mo Kio,Yio Chu Kang West,20 - 24,1- and 2-Room Flats*,220
Ang Mo Kio,Yio Chu Kang West,20 - 24,3-Room Flats,320
Ang Mo Kio,Yio Chu Kang West,20 - 24,4-Room Flats,300
Ang Mo Kio,Yio Chu Kang West,20 - 24,5-Room and Executive Flats,220
Ang Mo Kio,Yio Chu Kang West,20 - 24,Condominiums and Other Apartments,380
Ang Mo Kio,Yio Chu Kang West,20 - 24,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,20 - 24,Others,-
Ang Mo Kio,Yio Chu Kang West,25 - 29,Total,"1,540"
Ang Mo Kio,Yio Chu Kang West,25 - 29,Total HDB^,"1,170"
Ang Mo Kio,Yio Chu Kang West,25 - 29,1- and 2-Room Flats*,190
Ang Mo Kio,Yio Chu Kang West,25 - 29,3-Room Flats,370
Ang Mo Kio,Yio Chu Kang West,25 - 29,4-Room Flats,340
Ang Mo Kio,Yio Chu Kang West,25 - 29,5-Room and Executive Flats,280
Ang Mo Kio,Yio Chu Kang West,25 - 29,Condominiums and Other Apartments,330
Ang Mo Kio,Yio Chu Kang West,25 - 29,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,25 - 29,Others,-
Ang Mo Kio,Yio Chu Kang West,30 - 34,Total,"1,400"
Ang Mo Kio,Yio Chu Kang West,30 - 34,Total HDB^,"1,130"
Ang Mo Kio,Yio Chu Kang West,30 - 34,1- and 2-Room Flats*,120
Ang Mo Kio,Yio Chu Kang West,30 - 34,3-Room Flats,480
Ang Mo Kio,Yio Chu Kang West,30 - 34,4-Room Flats,280
Ang Mo Kio,Yio Chu Kang West,30 - 34,5-Room and Executive Flats,250
Ang Mo Kio,Yio Chu Kang West,30 - 34,Condominiums and Other Apartments,240
Ang Mo Kio,Yio Chu Kang West,30 - 34,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,30 - 34,Others,10
Ang Mo Kio,Yio Chu Kang West,35 - 39,Total,"1,480"
Ang Mo Kio,Yio Chu Kang West,35 - 39,Total HDB^,"1,120"
Ang Mo Kio,Yio Chu Kang West,35 - 39,1- and 2-Room Flats*,100
Ang Mo Kio,Yio Chu Kang West,35 - 39,3-Room Flats,550
Ang Mo Kio,Yio Chu Kang West,35 - 39,4-Room Flats,310
Ang Mo Kio,Yio Chu Kang West,35 - 39,5-Room and Executive Flats,170
Ang Mo Kio,Yio Chu Kang West,35 - 39,Condominiums and Other Apartments,320
Ang Mo Kio,Yio Chu Kang West,35 - 39,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,35 - 39,Others,-
Ang Mo Kio,Yio Chu Kang West,40 - 44,Total,"1,720"
Ang Mo Kio,Yio Chu Kang West,40 - 44,Total HDB^,"1,190"
Ang Mo Kio,Yio Chu Kang West,40 - 44,1- and 2-Room Flats*,90
Ang Mo Kio,Yio Chu Kang West,40 - 44,3-Room Flats,580
Ang Mo Kio,Yio Chu Kang West,40 - 44,4-Room Flats,340
Ang Mo Kio,Yio Chu Kang West,40 - 44,5-Room and Executive Flats,180
Ang Mo Kio,Yio Chu Kang West,40 - 44,Condominiums and Other Apartments,500
Ang Mo Kio,Yio Chu Kang West,40 - 44,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,40 - 44,Others,10
Ang Mo Kio,Yio Chu Kang West,45 - 49,Total,"1,910"
Ang Mo Kio,Yio Chu Kang West,45 - 49,Total HDB^,"1,250"
Ang Mo Kio,Yio Chu Kang West,45 - 49,1- and 2-Room Flats*,130
Ang Mo Kio,Yio Chu Kang West,45 - 49,3-Room Flats,550
Ang Mo Kio,Yio Chu Kang West,45 - 49,4-Room Flats,360
Ang Mo Kio,Yio Chu Kang West,45 - 49,5-Room and Executive Flats,220
Ang Mo Kio,Yio Chu Kang West,45 - 49,Condominiums and Other Apartments,620
Ang Mo Kio,Yio Chu Kang West,45 - 49,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,45 - 49,Others,-
Ang Mo Kio,Yio Chu Kang West,50 - 54,Total,"1,850"
Ang Mo Kio,Yio Chu Kang West,50 - 54,Total HDB^,"1,280"
Ang Mo Kio,Yio Chu Kang West,50 - 54,1- and 2-Room Flats*,180
Ang Mo Kio,Yio Chu Kang West,50 - 54,3-Room Flats,550
Ang Mo Kio,Yio Chu Kang West,50 - 54,4-Room Flats,340
Ang Mo Kio,Yio Chu Kang West,50 - 54,5-Room and Executive Flats,220
Ang Mo Kio,Yio Chu Kang West,50 - 54,Condominiums and Other Apartments,550
Ang Mo Kio,Yio Chu Kang West,50 - 54,Landed Properties,20
Ang Mo Kio,Yio Chu Kang West,50 - 54,Others,10
Ang Mo Kio,Yio Chu Kang West,55 - 59,Total,"1,950"
Ang Mo Kio,Yio Chu Kang West,55 - 59,Total HDB^,"1,470"
Ang Mo Kio,Yio Chu Kang West,55 - 59,1- and 2-Room Flats*,230
Ang Mo Kio,Yio Chu Kang West,55 - 59,3-Room Flats,610
Ang Mo Kio,Yio Chu Kang West,55 - 59,4-Room Flats,370
Ang Mo Kio,Yio Chu Kang West,55 - 59,5-Room and Executive Flats,260
Ang Mo Kio,Yio Chu Kang West,55 - 59,Condominiums and Other Apartments,450
Ang Mo Kio,Yio Chu Kang West,55 - 59,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,55 - 59,Others,-
Ang Mo Kio,Yio Chu Kang West,60 - 64,Total,"1,910"
Ang Mo Kio,Yio Chu Kang West,60 - 64,Total HDB^,"1,560"
Ang Mo Kio,Yio Chu Kang West,60 - 64,1- and 2-Room Flats*,240
Ang Mo Kio,Yio Chu Kang West,60 - 64,3-Room Flats,660
Ang Mo Kio,Yio Chu Kang West,60 - 64,4-Room Flats,390
Ang Mo Kio,Yio Chu Kang West,60 - 64,5-Room and Executive Flats,280
Ang Mo Kio,Yio Chu Kang West,60 - 64,Condominiums and Other Apartments,310
Ang Mo Kio,Yio Chu Kang West,60 - 64,Landed Properties,30
Ang Mo Kio,Yio Chu Kang West,60 - 64,Others,10
Ang Mo Kio,Yio Chu Kang West,65 - 69,Total,"1,820"
Ang Mo Kio,Yio Chu Kang West,65 - 69,Total HDB^,"1,560"
Ang Mo Kio,Yio Chu Kang West,65 - 69,1- and 2-Room Flats*,200
Ang Mo Kio,Yio Chu Kang West,65 - 69,3-Room Flats,690
Ang Mo Kio,Yio Chu Kang West,65 - 69,4-Room Flats,420
Ang Mo Kio,Yio Chu Kang West,65 - 69,5-Room and Executive Flats,250
Ang Mo Kio,Yio Chu Kang West,65 - 69,Condominiums and Other Apartments,220
Ang Mo Kio,Yio Chu Kang West,65 - 69,Landed Properties,40
Ang Mo Kio,Yio Chu Kang West,65 - 69,Others,10
Ang Mo Kio,Yio Chu Kang West,70 - 74,Total,"1,400"
Ang Mo Kio,Yio Chu Kang West,70 - 74,Total HDB^,"1,180"
Ang Mo Kio,Yio Chu Kang West,70 - 74,1- and 2-Room Flats*,180
Ang Mo Kio,Yio Chu Kang West,70 - 74,3-Room Flats,510
Ang Mo Kio,Yio Chu Kang West,70 - 74,4-Room Flats,330
Ang Mo Kio,Yio Chu Kang West,70 - 74,5-Room and Executive Flats,160
Ang Mo Kio,Yio Chu Kang West,70 - 74,Condominiums and Other Apartments,180
Ang Mo Kio,Yio Chu Kang West,70 - 74,Landed Properties,40
Ang Mo Kio,Yio Chu Kang West,70 - 74,Others,-
Ang Mo Kio,Yio Chu Kang West,75 - 79,Total,640
Ang Mo Kio,Yio Chu Kang West,75 - 79,Total HDB^,550
Ang Mo Kio,Yio Chu Kang West,75 - 79,1- and 2-Room Flats*,90
Ang Mo Kio,Yio Chu Kang West,75 - 79,3-Room Flats,230
Ang Mo Kio,Yio Chu Kang West,75 - 79,4-Room Flats,160
Ang Mo Kio,Yio Chu Kang West,75 - 79,5-Room and Executive Flats,70
Ang Mo Kio,Yio Chu Kang West,75 - 79,Condominiums and Other Apartments,70
Ang Mo Kio,Yio Chu Kang West,75 - 79,Landed Properties,20
Ang Mo Kio,Yio Chu Kang West,75 - 79,Others,-
Ang Mo Kio,Yio Chu Kang West,80 - 84,Total,480
Ang Mo Kio,Yio Chu Kang West,80 - 84,Total HDB^,420
Ang Mo Kio,Yio Chu Kang West,80 - 84,1- and 2-Room Flats*,80
Ang Mo Kio,Yio Chu Kang West,80 - 84,3-Room Flats,170
Ang Mo Kio,Yio Chu Kang West,80 - 84,4-Room Flats,130
Ang Mo Kio,Yio Chu Kang West,80 - 84,5-Room and Executive Flats,40
Ang Mo Kio,Yio Chu Kang West,80 - 84,Condominiums and Other Apartments,60
Ang Mo Kio,Yio Chu Kang West,80 - 84,Landed Properties,10
Ang Mo Kio,Yio Chu Kang West,80 - 84,Others,-
Ang Mo Kio,Yio Chu Kang West,85 - 89,Total,250
Ang Mo Kio,Yio Chu Kang West,85 - 89,Total HDB^,210
Ang Mo Kio,Yio Chu Kang West,85 - 89,1- and 2-Room Flats*,40
Ang Mo Kio,Yio Chu Kang West,85 - 89,3-Room Flats,70
Ang Mo Kio,Yio Chu Kang West,85 - 89,4-Room Flats,80
Ang Mo Kio,Yio Chu Kang West,85 - 89,5-Room and Executive Flats,20
Ang Mo Kio,Yio Chu Kang West,85 - 89,Condominiums and Other Apartments,30
Ang Mo Kio,Yio Chu Kang West,85 - 89,Landed Properties,10
Ang Mo Kio,Yio Chu Kang West,85 - 89,Others,-
Ang Mo Kio,Yio Chu Kang West,90 & Over,Total,110
Ang Mo Kio,Yio Chu Kang West,90 & Over,Total HDB^,100
Ang Mo Kio,Yio Chu Kang West,90 & Over,1- and 2-Room Flats*,20
Ang Mo Kio,Yio Chu Kang West,90 & Over,3-Room Flats,30
Ang Mo Kio,Yio Chu Kang West,90 & Over,4-Room Flats,30
Ang Mo Kio,Yio Chu Kang West,90 & Over,5-Room and Executive Flats,10
Ang Mo Kio,Yio Chu Kang West,90 & Over,Condominiums and Other Apartments,10
Ang Mo Kio,Yio Chu Kang West,90 & Over,Landed Properties,-
Ang Mo Kio,Yio Chu Kang West,90 & Over,Others,-
Bedok,Total,Total,Total,"276,990"
Bedok,Total,Total,Total HDB^,"175,620"
Bedok,Total,Total,1- and 2-Room Flats*,"9,630"
Bedok,Total,Total,3-Room Flats,"54,710"
Bedok,Total,Total,4-Room Flats,"66,310"
Bedok,Total,Total,5-Room and Executive Flats,"44,970"
Bedok,Total,Total,Condominiums and Other Apartments,"54,850"
Bedok,Total,Total,Landed Properties,"43,870"
Bedok,Total,Total,Others,"2,650"
Bedok,Total,0 - 4,Total,"9,790"
Bedok,Total,0 - 4,Total HDB^,"5,930"
Bedok,Total,0 - 4,1- and 2-Room Flats*,350
Bedok,Total,0 - 4,3-Room Flats,"1,420"
Bedok,Total,0 - 4,4-Room Flats,"2,660"
Bedok,Total,0 - 4,5-Room and Executive Flats,"1,500"
Bedok,Total,0 - 4,Condominiums and Other Apartments,"2,440"
Bedok,Total,0 - 4,Landed Properties,"1,400"
Bedok,Total,0 - 4,Others,30
Bedok,Total,5 - 9,Total,"11,490"
Bedok,Total,5 - 9,Total HDB^,"6,070"
Bedok,Total,5 - 9,1- and 2-Room Flats*,360
Bedok,Total,5 - 9,3-Room Flats,"1,560"
Bedok,Total,5 - 9,4-Room Flats,"2,400"
Bedok,Total,5 - 9,5-Room and Executive Flats,"1,760"
Bedok,Total,5 - 9,Condominiums and Other Apartments,"3,510"
Bedok,Total,5 - 9,Landed Properties,"1,870"
Bedok,Total,5 - 9,Others,40
Bedok,Total,10 - 14,Total,"12,810"
Bedok,Total,10 - 14,Total HDB^,"7,080"
Bedok,Total,10 - 14,1- and 2-Room Flats*,320
Bedok,Total,10 - 14,3-Room Flats,"1,910"
Bedok,Total,10 - 14,4-Room Flats,"2,770"
Bedok,Total,10 - 14,5-Room and Executive Flats,"2,090"
Bedok,Total,10 - 14,Condominiums and Other Apartments,"3,470"
Bedok,Total,10 - 14,Landed Properties,"2,220"
Bedok,Total,10 - 14,Others,40
Bedok,Total,15 - 19,Total,"14,080"
Bedok,Total,15 - 19,Total HDB^,"8,390"
Bedok,Total,15 - 19,1- and 2-Room Flats*,410
Bedok,Total,15 - 19,3-Room Flats,"2,380"
Bedok,Total,15 - 19,4-Room Flats,"3,170"
Bedok,Total,15 - 19,5-Room and Executive Flats,"2,440"
Bedok,Total,15 - 19,Condominiums and Other Apartments,"3,170"
Bedok,Total,15 - 19,Landed Properties,"2,450"
Bedok,Total,15 - 19,Others,80
Bedok,Total,20 - 24,Total,"16,050"
Bedok,Total,20 - 24,Total HDB^,"10,330"
Bedok,Total,20 - 24,1- and 2-Room Flats*,490
Bedok,Total,20 - 24,3-Room Flats,"2,760"
Bedok,Total,20 - 24,4-Room Flats,"4,030"
Bedok,Total,20 - 24,5-Room and Executive Flats,"3,060"
Bedok,Total,20 - 24,Condominiums and Other Apartments,"2,810"
Bedok,Total,20 - 24,Landed Properties,"2,790"
Bedok,Total,20 - 24,Others,120
Bedok,Total,25 - 29,Total,"18,870"
Bedok,Total,25 - 29,Total HDB^,"12,310"
Bedok,Total,25 - 29,1- and 2-Room Flats*,500
Bedok,Total,25 - 29,3-Room Flats,"3,160"
Bedok,Total,25 - 29,4-Room Flats,"4,830"
Bedok,Total,25 - 29,5-Room and Executive Flats,"3,820"
Bedok,Total,25 - 29,Condominiums and Other Apartments,"2,970"
Bedok,Total,25 - 29,Landed Properties,"3,470"
Bedok,Total,25 - 29,Others,120
Bedok,Total,30 - 34,Total,"18,360"
Bedok,Total,30 - 34,Total HDB^,"12,160"
Bedok,Total,30 - 34,1- and 2-Room Flats*,410
Bedok,Total,30 - 34,3-Room Flats,"3,270"
Bedok,Total,30 - 34,4-Room Flats,"5,280"
Bedok,Total,30 - 34,5-Room and Executive Flats,"3,200"
Bedok,Total,30 - 34,Condominiums and Other Apartments,"3,360"
Bedok,Total,30 - 34,Landed Properties,"2,690"
Bedok,Total,30 - 34,Others,150
Bedok,Total,35 - 39,Total,"17,730"
Bedok,Total,35 - 39,Total HDB^,"11,000"
Bedok,Total,35 - 39,1- and 2-Room Flats*,360
Bedok,Total,35 - 39,3-Room Flats,"3,310"
Bedok,Total,35 - 39,4-Room Flats,"4,590"
Bedok,Total,35 - 39,5-Room and Executive Flats,"2,750"
Bedok,Total,35 - 39,Condominiums and Other Apartments,"4,400"
Bedok,Total,35 - 39,Landed Properties,"2,200"
Bedok,Total,35 - 39,Others,130
Bedok,Total,40 - 44,Total,"19,500"
Bedok,Total,40 - 44,Total HDB^,"11,240"
Bedok,Total,40 - 44,1- and 2-Room Flats*,320
Bedok,Total,40 - 44,3-Room Flats,"3,710"
Bedok,Total,40 - 44,4-Room Flats,"4,520"
Bedok,Total,40 - 44,5-Room and Executive Flats,"2,690"
Bedok,Total,40 - 44,Condominiums and Other Apartments,"5,620"
Bedok,Total,40 - 44,Landed Properties,"2,500"
Bedok,Total,40 - 44,Others,140
Bedok,Total,45 - 49,Total,"21,090"
Bedok,Total,45 - 49,Total HDB^,"11,980"
Bedok,Total,45 - 49,1- and 2-Room Flats*,450
Bedok,Total,45 - 49,3-Room Flats,"4,050"
Bedok,Total,45 - 49,4-Room Flats,"4,530"
Bedok,Total,45 - 49,5-Room and Executive Flats,"2,950"
Bedok,Total,45 - 49,Condominiums and Other Apartments,"5,830"
Bedok,Total,45 - 49,Landed Properties,"3,130"
Bedok,Total,45 - 49,Others,150
Bedok,Total,50 - 54,Total,"20,050"
Bedok,Total,50 - 54,Total HDB^,"12,500"
Bedok,Total,50 - 54,1- and 2-Room Flats*,690
Bedok,Total,50 - 54,3-Room Flats,"4,320"
Bedok,Total,50 - 54,4-Room Flats,"4,580"
Bedok,Total,50 - 54,5-Room and Executive Flats,"2,920"
Bedok,Total,50 - 54,Condominiums and Other Apartments,"4,440"
Bedok,Total,50 - 54,Landed Properties,"2,960"
Bedok,Total,50 - 54,Others,150
Bedok,Total,55 - 59,Total,"21,950"
Bedok,Total,55 - 59,Total HDB^,"14,770"
Bedok,Total,55 - 59,1- and 2-Room Flats*,870
Bedok,Total,55 - 59,3-Room Flats,"5,090"
Bedok,Total,55 - 59,4-Room Flats,"5,220"
Bedok,Total,55 - 59,5-Room and Executive Flats,"3,580"
Bedok,Total,55 - 59,Condominiums and Other Apartments,"3,650"
Bedok,Total,55 - 59,Landed Properties,"3,330"
Bedok,Total,55 - 59,Others,200
Bedok,Total,60 - 64,Total,"21,860"
Bedok,Total,60 - 64,Total HDB^,"15,150"
Bedok,Total,60 - 64,1- and 2-Room Flats*,"1,080"
Bedok,Total,60 - 64,3-Room Flats,"4,950"
Bedok,Total,60 - 64,4-Room Flats,"5,240"
Bedok,Total,60 - 64,5-Room and Executive Flats,"3,890"
Bedok,Total,60 - 64,Condominiums and Other Apartments,"3,030"
Bedok,Total,60 - 64,Landed Properties,"3,470"
Bedok,Total,60 - 64,Others,200
Bedok,Total,65 - 69,Total,"19,030"
Bedok,Total,65 - 69,Total HDB^,"13,440"
Bedok,Total,65 - 69,1- and 2-Room Flats*,"1,010"
Bedok,Total,65 - 69,3-Room Flats,"4,410"
Bedok,Total,65 - 69,4-Room Flats,"4,670"
Bedok,Total,65 - 69,5-Room and Executive Flats,"3,350"
Bedok,Total,65 - 69,Condominiums and Other Apartments,"2,270"
Bedok,Total,65 - 69,Landed Properties,"3,120"
Bedok,Total,65 - 69,Others,200
Bedok,Total,70 - 74,Total,"15,230"
Bedok,Total,70 - 74,Total HDB^,"10,590"
Bedok,Total,70 - 74,1- and 2-Room Flats*,790
Bedok,Total,70 - 74,3-Room Flats,"3,830"
Bedok,Total,70 - 74,4-Room Flats,"3,540"
Bedok,Total,70 - 74,5-Room and Executive Flats,"2,430"
Bedok,Total,70 - 74,Condominiums and Other Apartments,"1,840"
Bedok,Total,70 - 74,Landed Properties,"2,620"
Bedok,Total,70 - 74,Others,190
Bedok,Total,75 - 79,Total,"8,020"
Bedok,Total,75 - 79,Total HDB^,"5,530"
Bedok,Total,75 - 79,1- and 2-Room Flats*,520
Bedok,Total,75 - 79,3-Room Flats,"2,060"
Bedok,Total,75 - 79,4-Room Flats,"1,850"
Bedok,Total,75 - 79,5-Room and Executive Flats,"1,100"
Bedok,Total,75 - 79,Condominiums and Other Apartments,930
Bedok,Total,75 - 79,Landed Properties,"1,400"
Bedok,Total,75 - 79,Others,170
Bedok,Total,80 - 84,Total,"5,810"
Bedok,Total,80 - 84,Total HDB^,"3,840"
Bedok,Total,80 - 84,1- and 2-Room Flats*,380
Bedok,Total,80 - 84,3-Room Flats,"1,440"
Bedok,Total,80 - 84,4-Room Flats,"1,290"
Bedok,Total,80 - 84,5-Room and Executive Flats,730
Bedok,Total,80 - 84,Condominiums and Other Apartments,640
Bedok,Total,80 - 84,Landed Properties,"1,130"
Bedok,Total,80 - 84,Others,190
Bedok,Total,85 - 89,Total,"3,310"
Bedok,Total,85 - 89,Total HDB^,"2,120"
Bedok,Total,85 - 89,1- and 2-Room Flats*,230
Bedok,Total,85 - 89,3-Room Flats,740
Bedok,Total,85 - 89,4-Room Flats,730
Bedok,Total,85 - 89,5-Room and Executive Flats,420
Bedok,Total,85 - 89,Condominiums and Other Apartments,320
Bedok,Total,85 - 89,Landed Properties,700
Bedok,Total,85 - 89,Others,170
Bedok,Total,90 & Over,Total,"1,970"
Bedok,Total,90 & Over,Total HDB^,"1,190"
Bedok,Total,90 & Over,1- and 2-Room Flats*,110
Bedok,Total,90 & Over,3-Room Flats,370
Bedok,Total,90 & Over,4-Room Flats,430
Bedok,Total,90 & Over,5-Room and Executive Flats,280
Bedok,Total,90 & Over,Condominiums and Other Apartments,160
Bedok,Total,90 & Over,Landed Properties,420
Bedok,Total,90 & Over,Others,190
Bedok,Bayshore,Total,Total,"7,450"
Bedok,Bayshore,Total,Total HDB^,-
Bedok,Bayshore,Total,1- and 2-Room Flats*,-
Bedok,Bayshore,Total,3-Room Flats,-
Bedok,Bayshore,Total,4-Room Flats,-
Bedok,Bayshore,Total,5-Room and Executive Flats,-
Bedok,Bayshore,Total,Condominiums and Other Apartments,"6,920"
Bedok,Bayshore,Total,Landed Properties,410
Bedok,Bayshore,Total,Others,130
Bedok,Bayshore,0 - 4,Total,340
Bedok,Bayshore,0 - 4,Total HDB^,-
Bedok,Bayshore,0 - 4,1- and 2-Room Flats*,-
Bedok,Bayshore,0 - 4,3-Room Flats,-
Bedok,Bayshore,0 - 4,4-Room Flats,-
Bedok,Bayshore,0 - 4,5-Room and Executive Flats,-
Bedok,Bayshore,0 - 4,Condominiums and Other Apartments,330
Bedok,Bayshore,0 - 4,Landed Properties,10
Bedok,Bayshore,0 - 4,Others,-
Bedok,Bayshore,5 - 9,Total,490
Bedok,Bayshore,5 - 9,Total HDB^,-
Bedok,Bayshore,5 - 9,1- and 2-Room Flats*,-
Bedok,Bayshore,5 - 9,3-Room Flats,-
Bedok,Bayshore,5 - 9,4-Room Flats,-
Bedok,Bayshore,5 - 9,5-Room and Executive Flats,-
Bedok,Bayshore,5 - 9,Condominiums and Other Apartments,470
Bedok,Bayshore,5 - 9,Landed Properties,20
Bedok,Bayshore,5 - 9,Others,-
Bedok,Bayshore,10 - 14,Total,480
Bedok,Bayshore,10 - 14,Total HDB^,-
Bedok,Bayshore,10 - 14,1- and 2-Room Flats*,-
Bedok,Bayshore,10 - 14,3-Room Flats,-
Bedok,Bayshore,10 - 14,4-Room Flats,-
Bedok,Bayshore,10 - 14,5-Room and Executive Flats,-
Bedok,Bayshore,10 - 14,Condominiums and Other Apartments,460
Bedok,Bayshore,10 - 14,Landed Properties,20
Bedok,Bayshore,10 - 14,Others,-
Bedok,Bayshore,15 - 19,Total,450
Bedok,Bayshore,15 - 19,Total HDB^,-
Bedok,Bayshore,15 - 19,1- and 2-Room Flats*,-
Bedok,Bayshore,15 - 19,3-Room Flats,-
Bedok,Bayshore,15 - 19,4-Room Flats,-
Bedok,Bayshore,15 - 19,5-Room and Executive Flats,-
Bedok,Bayshore,15 - 19,Condominiums and Other Apartments,430
Bedok,Bayshore,15 - 19,Landed Properties,10
Bedok,Bayshore,15 - 19,Others,-
Bedok,Bayshore,20 - 24,Total,360
Bedok,Bayshore,20 - 24,Total HDB^,-
Bedok,Bayshore,20 - 24,1- and 2-Room Flats*,-
Bedok,Bayshore,20 - 24,3-Room Flats,-
Bedok,Bayshore,20 - 24,4-Room Flats,-
Bedok,Bayshore,20 - 24,5-Room and Executive Flats,-
Bedok,Bayshore,20 - 24,Condominiums and Other Apartments,330
Bedok,Bayshore,20 - 24,Landed Properties,30
Bedok,Bayshore,20 - 24,Others,-
Bedok,Bayshore,25 - 29,Total,310
Bedok,Bayshore,25 - 29,Total HDB^,-
Bedok,Bayshore,25 - 29,1- and 2-Room Flats*,-
Bedok,Bayshore,25 - 29,3-Room Flats,-
Bedok,Bayshore,25 - 29,4-Room Flats,-
Bedok,Bayshore,25 - 29,5-Room and Executive Flats,-
Bedok,Bayshore,25 - 29,Condominiums and Other Apartments,280
Bedok,Bayshore,25 - 29,Landed Properties,30
Bedok,Bayshore,25 - 29,Others,-
Bedok,Bayshore,30 - 34,Total,360
Bedok,Bayshore,30 - 34,Total HDB^,-
Bedok,Bayshore,30 - 34,1- and 2-Room Flats*,-
Bedok,Bayshore,30 - 34,3-Room Flats,-
Bedok,Bayshore,30 - 34,4-Room Flats,-
Bedok,Bayshore,30 - 34,5-Room and Executive Flats,-
Bedok,Bayshore,30 - 34,Condominiums and Other Apartments,330
Bedok,Bayshore,30 - 34,Landed Properties,20
Bedok,Bayshore,30 - 34,Others,-
Bedok,Bayshore,35 - 39,Total,550
Bedok,Bayshore,35 - 39,Total HDB^,-
Bedok,Bayshore,35 - 39,1- and 2-Room Flats*,-
Bedok,Bayshore,35 - 39,3-Room Flats,-
Bedok,Bayshore,35 - 39,4-Room Flats,-
Bedok,Bayshore,35 - 39,5-Room and Executive Flats,-
